flow_key,total_bytes,incoming_bytes,outgoing_bytes,max_packet_length_bytes,min_packet_length_bytes,total_packets,incoming_packets,outgoing_packets,tcp_syn_count,tcp_ack_count,tcp_psh_count,tcp_fin_count,tcp_rst_count,current_pkt_len,iat_sum,iat_max,ttl,label
"('172.16.48.81', '48.208.208.104', 24761, 3478, 17)",8054,4837,3217,262,79,50,33,17,0,0,0,0,0,181,525.0613689422607,132.24148750305176,115,voice
"('172.16.48.81', '48.208.208.104', 24761, 3478, 17)",8349,3944,4405,196,118,50,26,24,0,0,0,0,0,179,466.54653549194336,26.460886001586914,115,voice
"('172.16.48.81', '48.208.208.104', 24761, 3478, 17)",11662,1598,10064,1274,87,50,12,38,0,0,0,0,0,186,620.3808784484863,26.199817657470703,128,voice
"('172.16.48.81', '48.208.208.104', 24761, 3478, 17)",11833,7431,4402,1262,86,50,26,24,0,0,0,0,0,1262,459.5820903778076,26.73172950744629,115,voice
"('172.16.48.81', '48.208.208.104', 24761, 3478, 17)",7458,3364,4094,207,87,50,27,23,0,0,0,0,0,154,446.53892517089844,26.63731575012207,115,voice
"('172.16.48.81', '48.208.208.104', 24761, 3478, 17)",7633,2371,5262,203,79,50,20,30,0,0,0,0,0,130,578.1455039978027,25.334596633911133,128,voice
"('172.16.48.81', '48.208.208.104', 24761, 3478, 17)",10807,2304,8503,1274,91,50,15,35,0,0,0,0,0,191,1247.6708889007568,253.01337242126465,128,voice
"('172.16.48.81', '48.208.208.104', 24761, 3478, 17)",6262,2629,3633,185,79,50,24,26,0,0,0,0,0,135,470.165491104126,26.665925979614258,115,voice
"('172.16.48.81', '48.208.208.104', 24761, 3478, 17)",11552,7423,4129,1262,86,50,26,24,0,0,0,0,0,181,460.19721031188965,21.30889892578125,128,voice
"('172.16.48.81', '48.208.208.104', 24761, 3478, 17)",6791,2388,4403,195,87,50,22,28,0,0,0,0,0,170,528.6200046539307,23.41294288635254,115,voice
"('172.16.48.81', '48.208.208.104', 24761, 3478, 17)",11244,1498,9746,1274,91,50,10,40,0,0,0,0,0,183,1435.1325035095215,219.53797340393066,128,voice
"('172.16.48.81', '48.208.208.104', 24761, 3478, 17)",8840,4591,4249,203,155,50,27,23,0,0,0,0,0,168,526.2250900268555,25.8939266204834,115,voice
"('172.16.48.81', '48.208.208.104', 24761, 3478, 17)",10820,6988,3832,1262,86,50,27,23,0,0,0,0,0,122,417.3460006713867,20.1876163482666,128,voice
"('172.16.48.81', '48.208.208.104', 24761, 3478, 17)",6653,2959,3694,187,79,50,19,31,0,0,0,0,0,108,695.3945159912109,29.034852981567383,128,voice
"('172.16.48.81', '48.208.208.104', 24761, 3478, 17)",6571,4431,2140,198,91,50,30,20,0,0,0,0,0,160,536.3302230834961,34.04569625854492,115,voice
"('172.16.48.81', '48.208.208.104', 24761, 3478, 17)",12050,6516,5534,1274,98,50,43,7,0,0,0,0,0,114,833.9095115661621,30.689001083374023,115,voice
"('172.16.48.81', '48.208.208.104', 24761, 3478, 17)",10365,9008,1357,1262,86,50,41,9,0,0,0,0,0,146,667.5927639007568,31.060218811035156,115,voice
"('172.16.48.81', '48.208.208.104', 24761, 3478, 17)",6469,3868,2601,173,90,50,29,21,0,0,0,0,0,109,502.72607803344727,25.047779083251953,115,voice
"('172.16.48.81', '48.208.208.104', 24761, 3478, 17)",7509,4068,3441,262,79,50,27,23,0,0,0,0,0,123,906.1417579650879,186.28454208374023,115,voice
"('172.16.48.81', '48.208.208.104', 24761, 3478, 17)",7882,4468,3414,204,91,50,27,23,0,0,0,0,0,167,476.25088691711426,26.526212692260742,115,voice
"('172.16.48.81', '48.208.208.104', 24761, 3478, 17)",13119,3704,9415,1274,98,50,22,28,0,0,0,0,0,168,409.70516204833984,21.59881591796875,128,voice
"('172.16.48.81', '48.208.208.104', 24761, 3478, 17)",7363,3019,4344,201,107,50,25,25,0,0,0,0,0,124,466.5250778198242,20.268917083740234,128,voice
"('172.16.48.81', '48.208.208.104', 24761, 3478, 17)",10365,6353,4012,1262,79,50,26,24,0,0,0,0,0,153,470.15881538391113,26.544809341430664,128,voice
"('172.16.48.81', '48.208.208.104', 24761, 3478, 17)",7949,3445,4504,197,114,50,25,25,0,0,0,0,0,173,471.5285301208496,22.275447845458984,128,voice
"('172.16.48.81', '48.208.208.104', 24761, 3478, 17)",8406,4050,4356,200,90,50,26,24,0,0,0,0,0,171,459.29813385009766,19.1805362701416,128,voice
"('172.16.48.81', '48.208.208.104', 24761, 3478, 17)",8091,3758,4333,203,90,50,26,24,0,0,0,0,0,151,458.4829807281494,20.2181339263916,115,voice
"('172.16.48.81', '48.208.208.104', 24761, 3478, 17)",11379,3443,7936,1274,90,50,24,26,0,0,0,0,0,168,408.77819061279297,22.114276885986328,128,voice
"('172.16.48.81', '48.208.208.104', 24761, 3478, 17)",8129,3553,4576,209,100,50,25,25,0,0,0,0,0,151,471.00305557250977,20.65134048461914,128,voice
"('172.16.48.81', '48.208.208.104', 24761, 3478, 17)",9774,5337,4437,1262,86,50,26,24,0,0,0,0,0,103,425.46582221984863,25.43187141418457,128,voice
"('172.16.48.81', '48.208.208.104', 24761, 3478, 17)",8291,2297,5994,209,79,50,17,33,0,0,0,0,0,102,651.390790939331,27.299165725708008,128,voice
"('172.16.48.81', '48.208.208.104', 24761, 3478, 17)",7600,3122,4478,193,97,50,25,25,0,0,0,0,0,105,471.1265563964844,20.69711685180664,128,voice
"('172.16.48.81', '48.208.208.104', 24761, 3478, 17)",8480,1018,7462,204,79,50,9,41,0,0,0,0,0,181,755.8348178863525,26.071548461914062,128,voice
"('172.16.48.81', '48.208.208.104', 24761, 3478, 17)",11749,232,11517,1274,98,50,2,48,0,0,0,0,0,113,845.7469940185547,27.092695236206055,128,voice
