flow_key,total_bytes,incoming_bytes,outgoing_bytes,max_packet_length_bytes,min_packet_length_bytes,total_packets,incoming_packets,current_pkt_len,iat_sum,iat_max,ttl,label
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",50202,43969,6233,1209,119,50,42,863,68.23921203613281,35.9959602355957,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",46603,20678,25925,1213,119,50,20,1171,86.40480041503906,60.3792667388916,128,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",50120,47366,2754,1233,119,50,44,1181,124.92609024047852,45.67670822143555,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",49075,42767,6308,1192,114,50,42,119,160.6464385986328,39.40439224243164,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",52144,39402,12742,1188,119,50,37,1188,114.46166038513184,30.907869338989258,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",53536,45735,7801,1188,119,50,42,1170,80.14917373657227,56.79607391357422,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",52036,31840,20196,1188,119,50,31,1171,106.15348815917969,35.79139709472656,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",52067,25904,26163,1189,119,50,26,1189,126.05595588684082,42.13094711303711,128,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",53914,31133,22781,1199,119,50,30,1161,82.68356323242188,28.10978889465332,128,video
"('172.16.48.81', '52.114.112.71', 50013, 3479, 17)",8814,8656,158,202,114,50,49,154,939.4605159759521,22.589921951293945,116,voice
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",51777,32643,19134,1220,119,50,32,1128,126.21521949768066,38.86294364929199,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",44079,37566,6513,1198,119,50,36,1194,95.51119804382324,35.92658042907715,128,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",44321,25187,19134,1209,119,50,24,1140,78.48191261291504,36.53717041015625,128,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",48404,39124,9280,1190,119,50,37,837,125.79154968261719,35.74705123901367,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",48871,32259,16612,1185,114,50,31,1179,75.12092590332031,33.07819366455078,128,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",49544,28920,20624,1185,119,50,28,1185,84.99765396118164,34.464359283447266,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",50473,33026,17447,1193,119,50,30,918,92.79298782348633,37.6286506652832,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",49381,23729,25652,1192,119,50,23,1119,67.37399101257324,18.611431121826172,128,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",49784,16594,33190,1167,119,50,17,127,79.36429977416992,31.516313552856445,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",52639,27837,24802,1190,119,50,27,1131,70.76454162597656,28.068065643310547,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",42706,23294,19412,1146,119,50,24,119,130.3548812866211,39.986610412597656,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",54785,43483,11302,1232,119,50,39,1196,84.8836898803711,27.61983871459961,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",41390,25208,16182,1191,119,50,25,1161,104.83741760253906,38.92707824707031,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",48982,35684,13298,1185,119,50,33,834,118.55077743530273,33.133745193481445,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",50681,38834,11847,1190,119,50,36,1149,96.43936157226562,33.119916915893555,128,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",50043,28515,21528,1189,119,50,27,1161,75.25420188903809,19.888639450073242,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",48181,21180,27001,1199,114,50,22,1199,104.2945384979248,29.762744903564453,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",52026,38438,13588,1226,119,50,35,1004,129.64558601379395,40.79556465148926,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",52133,33448,18685,1195,119,50,31,1146,85.14761924743652,29.459714889526367,128,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",51625,30073,21552,1154,119,50,28,1142,70.14083862304688,26.942729949951172,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",47090,31486,15604,1231,119,50,30,781,92.15044975280762,25.562763214111328,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",47642,17942,29700,1114,119,50,18,1044,143.40567588806152,63.13967704772949,128,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",44595,11760,32835,1164,127,50,11,877,260.53643226623535,69.10276412963867,128,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",48039,24345,23694,1216,78,50,23,1179,125.5645751953125,74.89705085754395,128,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",47882,9535,38347,1179,114,50,9,844,142.21954345703125,50.08196830749512,116,video
"('172.16.48.81', '52.114.112.71', 50013, 3479, 17)",12946,4650,8296,1274,79,50,18,205,2679.351806640625,1038.8989448547363,116,voice
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",54812,46349,8463,1217,119,50,40,1217,31.014680862426758,22.6895809173584,128,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",55409,50072,5337,1217,119,50,44,1125,54.808616638183594,29.002904891967773,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",42795,23829,18966,1241,119,50,24,1117,150.88915824890137,43.324947357177734,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",46794,27721,19073,1159,119,50,28,1132,94.76256370544434,36.40127182006836,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",48301,17304,30997,1152,119,50,18,1034,126.220703125,42.98043251037598,128,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",50126,28061,22065,1179,119,50,27,1179,137.1896266937256,58.5482120513916,128,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",48982,16722,32260,1195,127,50,15,945,199.77140426635742,65.02509117126465,116,video
"('172.16.48.81', '52.114.112.71', 50013, 3479, 17)",8950,1023,7927,262,114,50,6,159,825.7811069488525,26.247024536132812,128,voice
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",50189,27725,22464,1222,119,50,26,1222,111.28854751586914,59.282541275024414,128,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",49266,24932,24334,1222,119,50,23,1215,89.70284461975098,33.5993766784668,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",53219,47388,5831,1215,119,50,42,923,73.10175895690918,37.43338584899902,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",45830,26759,19071,1231,114,50,28,901,126.71923637390137,34.833431243896484,128,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",46846,22829,24017,1195,119,50,22,893,127.2895336151123,39.632320404052734,128,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",48987,27796,21191,1199,119,50,26,1193,83.00352096557617,33.80942344665527,128,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",48470,29641,18829,1198,119,50,28,1190,88.4389877319336,29.971599578857422,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",49199,37725,11474,1190,119,50,36,892,102.3702621459961,22.75872230529785,116,video
"('172.16.48.81', '52.114.112.71', 50013, 3479, 17)",8826,7157,1669,199,91,50,39,183,739.1104698181152,21.959781646728516,116,voice
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",49587,33976,15611,1162,119,50,32,1153,107.36942291259766,38.9556884765625,128,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",45766,23141,22625,1153,119,50,23,1135,85.76703071594238,33.277273178100586,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",48728,29686,19042,1190,119,50,28,119,99.07770156860352,39.83783721923828,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",51170,38483,12687,1220,119,50,35,897,107.46073722839355,36.09466552734375,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",49180,21297,27883,1188,119,50,20,1134,80.02090454101562,53.39312553405762,128,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",48827,29046,19781,1212,119,50,27,1211,88.6075496673584,49.76963996887207,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",50130,31949,18181,1209,114,50,31,1018,100.40712356567383,39.971351623535156,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",51206,37757,13449,1183,119,50,36,1173,129.46319580078125,40.65823554992676,128,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",52783,30860,21923,1187,119,50,28,1185,64.50080871582031,31.685829162597656,116,video
"('172.16.48.81', '52.114.112.71', 50013, 3479, 17)",8941,8783,158,204,114,50,49,190,939.2054080963135,35.027503967285156,116,voice
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",45857,24081,21776,1221,119,50,23,1156,103.8517951965332,43.36071014404297,128,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",53909,33867,20042,1211,119,50,31,1149,84.30957794189453,49.38483238220215,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",53130,36117,17013,1208,119,50,34,119,126.14560127258301,39.66569900512695,128,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",52168,28673,23495,1201,119,50,26,1201,64.75162506103516,27.029037475585938,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",49728,24039,25689,1215,119,50,23,1201,99.89118576049805,49.11446571350098,128,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",48786,26303,22483,1201,119,50,24,883,92.48971939086914,50.57501792907715,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",49897,35492,14405,1207,119,50,33,870,149.7950553894043,61.67459487915039,128,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",48731,32122,16609,1216,119,50,31,1067,55.805206298828125,25.35843849182129,128,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",46949,31215,15734,1148,114,50,31,899,67.50249862670898,20.74265480041504,128,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",48312,26597,21715,1225,119,50,25,878,128.28874588012695,41.63694381713867,128,video
"('172.16.48.81', '52.114.112.71', 50013, 3479, 17)",8722,8564,158,202,114,50,49,202,938.2474422454834,32.78398513793945,116,voice
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",51860,39417,12443,1199,119,50,36,1048,78.21369171142578,40.181875228881836,128,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",49463,30451,19012,1224,119,50,28,1224,72.72791862487793,58.46858024597168,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",50805,36069,14736,1224,119,50,34,966,71.86412811279297,40.54379463195801,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",45573,18801,26772,1231,119,50,18,746,122.73883819580078,60.90188026428223,128,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",50244,42465,7779,1190,119,50,40,1131,85.34407615661621,39.68000411987305,128,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",45728,28290,17438,1138,119,50,28,1138,100.66723823547363,39.72744941711426,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",46657,21483,25174,1138,119,50,22,119,124.90582466125488,49.5152473449707,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",53293,41828,11465,1231,119,50,37,934,93.27936172485352,34.48748588562012,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",49965,29981,19984,1197,119,50,29,119,116.0426139831543,53.40743064880371,128,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",48855,27365,21490,1206,114,50,27,1151,90.22188186645508,24.673938751220703,116,video
"('172.16.48.81', '52.114.112.71', 50013, 3479, 17)",8831,8831,0,198,152,50,50,159,980.1838397979736,22.394418716430664,116,voice
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",49663,23067,26596,1201,119,50,22,1129,75.50835609436035,39.81661796569824,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",46636,29681,16955,1188,119,50,28,750,115.52262306213379,45.89247703552246,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",50684,42417,8267,1234,119,50,40,1185,124.08185005187988,38.54084014892578,128,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",49718,30093,19625,1228,119,50,28,1217,81.4964771270752,39.484262466430664,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",48453,23536,24917,1217,119,50,22,1174,95.0307846069336,60.87636947631836,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",51268,40287,10981,1228,119,50,37,852,100.6002426147461,35.37702560424805,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",48311,30894,17417,1226,119,50,30,1185,132.59291648864746,44.15273666381836,128,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",48309,27917,20392,1206,119,50,26,1206,77.69107818603516,35.35127639770508,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",51007,28295,22712,1206,119,50,26,935,61.32149696350098,35.596370697021484,128,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",50958,39779,11179,1227,119,50,38,958,128.19671630859375,42.84071922302246,128,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",48882,25680,23202,1206,114,50,25,114,88.61303329467773,20.984888076782227,128,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",46856,26672,20184,1205,78,50,27,1192,75.49619674682617,50.597190856933594,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",52635,50848,1787,1219,119,50,46,1199,129.30607795715332,47.76763916015625,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",52030,49467,2563,1228,119,50,46,1156,120.48172950744629,34.60836410522461,116,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",49718,43879,5839,1228,119,50,42,1228,131.42704963684082,44.42882537841797,128,video
"('172.16.48.81', '52.114.112.71', 50039, 3480, 17)",49460,35034,14426,1228,119,50,34,1091,144.3195343017578,45.54247856140137,116,video
"('172.16.48.81', '52.114.112.71', 50013, 3479, 17)",7883,7305,578,262,79,50,47,136,1680.0389289855957,689.7597312927246,116,voice
